"Timestamp","ProcessName","MemoryUsageMB"
"10/31/2024 12:08:11 PM","OfficeClickToRun","59.63"
"10/31/2024 12:08:11 PM","OneDrive","246.83"
"10/31/2024 12:08:11 PM","ONENOTEM","3.68"
"10/31/2024 12:08:11 PM","PhoneExperienceHost","149.46"
"10/31/2024 12:08:11 PM","powershell","241.34"
"10/31/2024 12:08:11 PM","powershell","118.84"
"10/31/2024 12:08:11 PM","RDAgentBootLoader","105.3"
"10/31/2024 12:08:11 PM","RDMonitoringAgentLauncher","1.64"
"10/31/2024 12:08:11 PM","rdpclip","11.96"
"10/31/2024 12:08:11 PM","rdpvchost","6.99"
"10/31/2024 12:08:11 PM","Receiver","38.18"
"10/31/2024 12:08:11 PM","redirector","13.77"
"10/31/2024 12:08:11 PM","Registry","49.93"
"10/31/2024 12:08:11 PM","RuntimeBroker","11.39"
"10/31/2024 12:08:11 PM","RuntimeBroker","29.16"
"10/31/2024 12:08:11 PM","RuntimeBroker","9.46"
"10/31/2024 12:08:11 PM","RuntimeBroker","28.53"
"10/31/2024 12:08:11 PM","RuntimeBroker","11.46"
"10/31/2024 12:08:11 PM","RuntimeBroker","29.04"
"10/31/2024 12:08:11 PM","SearchHost","270.6"
"10/31/2024 12:08:11 PM","SearchIndexer","44.12"
"10/31/2024 12:08:11 PM","Secure System","75.27"
"10/31/2024 12:08:11 PM","SecurityHealthService","18.96"
"10/31/2024 12:08:11 PM","SecurityHealthSystray","10.26"
"10/31/2024 12:08:11 PM","SenseIR","14.72"
"10/31/2024 12:08:11 PM","SenseNdr","32.72"
"10/31/2024 12:08:11 PM","SenseTVM","8.54"
"10/31/2024 12:08:11 PM","services","11.18"
"10/31/2024 12:08:11 PM","ShellExperienceHost","77.41"
"10/31/2024 12:08:11 PM","sihost","32.34"
"10/31/2024 12:08:11 PM","smss","1.27"
"10/31/2024 12:08:11 PM","spoolsv","19.04"
"10/31/2024 12:08:11 PM","SRAgent","23.23"
"10/31/2024 12:08:11 PM","SRAppPB","19.67"
"10/31/2024 12:08:11 PM","SRFeature","11.93"
"10/31/2024 12:08:11 PM","SRManager","25.56"
"10/31/2024 12:08:11 PM","SRService","8.77"
"10/31/2024 12:08:11 PM","SRVirtualDisplay","17.21"
"10/31/2024 12:08:11 PM","StartMenuExperienceHost","118.32"
"10/31/2024 12:08:11 PM","svchost","14.71"
"10/31/2024 12:08:11 PM","svchost","11.4"
"10/31/2024 12:08:11 PM","svchost","26.78"
"10/31/2024 12:08:11 PM","svchost","16.27"
"10/31/2024 12:08:11 PM","svchost","12.54"
"10/31/2024 12:08:11 PM","svchost","108.55"
"10/31/2024 12:08:11 PM","svchost","16.68"
"10/31/2024 12:08:11 PM","svchost","5.43"
"10/31/2024 12:08:11 PM","svchost","10.34"
"10/31/2024 12:08:11 PM","svchost","9.92"
"10/31/2024 12:08:11 PM","svchost","10.02"
"10/31/2024 12:08:11 PM","svchost","10.89"
"10/31/2024 12:08:11 PM","svchost","16.19"
"10/31/2024 12:08:11 PM","svchost","7.45"
"10/31/2024 12:08:11 PM","svchost","5.94"
"10/31/2024 12:08:11 PM","svchost","5.69"
"10/31/2024 12:08:11 PM","svchost","5.79"
"10/31/2024 12:08:11 PM","svchost","8.47"
"10/31/2024 12:08:11 PM","svchost","8.67"
"10/31/2024 12:08:11 PM","svchost","8.3"
"10/31/2024 12:08:11 PM","svchost","8.27"
"10/31/2024 12:08:11 PM","svchost","17.26"
"10/31/2024 12:08:11 PM","svchost","30.12"
"10/31/2024 12:08:11 PM","svchost","6.38"
"10/31/2024 12:08:11 PM","svchost","7.14"
"10/31/2024 12:08:11 PM","svchost","11"
"10/31/2024 12:08:11 PM","svchost","8.05"
"10/31/2024 12:08:11 PM","svchost","185.69"
"10/31/2024 12:08:11 PM","svchost","5.84"
"10/31/2024 12:08:11 PM","svchost","7.77"
"10/31/2024 12:08:11 PM","svchost","10.53"
"10/31/2024 12:08:11 PM","svchost","8.13"
"10/31/2024 12:08:11 PM","svchost","6.78"
"10/31/2024 12:08:11 PM","svchost","17.23"
"10/31/2024 12:08:11 PM","svchost","8.33"
"10/31/2024 12:08:11 PM","svchost","7.67"
"10/31/2024 12:08:11 PM","svchost","8.83"
"10/31/2024 12:08:11 PM","svchost","14.43"
"10/31/2024 12:08:11 PM","svchost","9.08"
"10/31/2024 12:08:11 PM","svchost","7.43"
"10/31/2024 12:08:11 PM","svchost","7.14"
"10/31/2024 12:08:11 PM","svchost","7.26"
"10/31/2024 12:08:11 PM","svchost","7.91"
"10/31/2024 12:08:11 PM","svchost","9.91"
"10/31/2024 12:08:11 PM","svchost","12.62"
"10/31/2024 12:08:11 PM","svchost","10.11"
"10/31/2024 12:08:11 PM","svchost","10.75"
"10/31/2024 12:08:11 PM","svchost","20.94"
"10/31/2024 12:08:11 PM","svchost","23.42"
"10/31/2024 12:08:11 PM","svchost","60.43"
"10/31/2024 12:08:11 PM","svchost","13.77"
"10/31/2024 12:08:11 PM","svchost","11.11"
"10/31/2024 12:08:11 PM","svchost","44.03"
"10/31/2024 12:08:11 PM","svchost","30.68"
"10/31/2024 12:08:11 PM","svchost","28.15"
"10/31/2024 12:08:11 PM","svchost","19.18"
"10/31/2024 12:08:11 PM","svchost","5.39"
"10/31/2024 12:08:11 PM","svchost","5.72"
"10/31/2024 12:08:11 PM","svchost","18.12"
"10/31/2024 12:08:11 PM","svchost","9.45"
"10/31/2024 12:08:11 PM","svchost","8.41"
"10/31/2024 12:08:11 PM","svchost","33.57"
"10/31/2024 12:08:11 PM","svchost","21.75"
"10/31/2024 12:08:11 PM","svchost","19.65"
"10/31/2024 12:08:11 PM","svchost","30.31"
"10/31/2024 12:08:11 PM","svchost","12.17"
"10/31/2024 12:08:11 PM","svchost","20.56"
"10/31/2024 12:08:11 PM","svchost","11.75"
"10/31/2024 12:08:11 PM","svchost","10.43"
"10/31/2024 12:08:11 PM","svchost","6.72"
"10/31/2024 12:08:11 PM","svchost","15.24"
"10/31/2024 12:08:11 PM","svchost","7.67"
"10/31/2024 12:08:11 PM","svchost","7.19"
"10/31/2024 12:08:11 PM","svchost","15.34"
"10/31/2024 12:08:11 PM","svchost","12.4"
"10/31/2024 12:08:11 PM","svchost","13.73"
"10/31/2024 12:08:11 PM","svchost","13.4"
"10/31/2024 12:08:11 PM","svchost","24.69"
"10/31/2024 12:08:11 PM","svchost","7.84"
"10/31/2024 12:08:11 PM","svchost","20.6"
"10/31/2024 12:08:11 PM","svchost","9.92"
"10/31/2024 12:08:11 PM","svchost","7.87"
"10/31/2024 12:08:11 PM","svchost","23.46"
"10/31/2024 12:08:11 PM","svchost","7.77"
"10/31/2024 12:08:11 PM","System","7.41"
"10/31/2024 12:08:11 PM","SystemSettingsBroker","25.93"
"10/31/2024 12:08:11 PM","taskhostw","37.87"
"10/31/2024 12:08:11 PM","taskhostw","21.08"
