"Time","Message","Severity"
"5/10/2024 8:12 AM","Clearing existing Azure connection","Information"
"5/10/2024 8:12 AM","Clearing existing Azure context 
","Information"
"5/10/2024 8:12 AM","Clearing of existing connection and context completed.","Information"
"5/10/2024 8:12 AM","Working in Subscription: unerd-wscon-mgmt-prod-sub-01","Information"
"5/10/2024 8:12 AM","Listing Log Analytics workspace","Information"
"5/10/2024 8:13 AM","Retrieving tables from unerd-law","Information"
"5/10/2024 8:13 AM","Retrieving tables from unerd-law","Information"
"5/10/2024 8:20 AM","Set-TableConfiguration {""error"":{""code"":""InvalidParameter"",""message"":""Change in table plan is limited to once a week. Last update was on 05/10/2024 06:13:24. Operation Id: 'bcf75ff6532a31db798e37ad24746807'""}}","Error"
"5/10/2024 8:33 AM","Table : AACAudit archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AACHttpRequest archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADB2CRequestLogs archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADCustomSecurityAttributeAuditLogs archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesAccountLogon archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesAccountManagement archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesDNSAuditsDynamicUpdates archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesDNSAuditsGeneral archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesLogonLogoff archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesPolicyChange archive updated successfully to 1095","Information"
"5/10/2024 8:33 AM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 1095","Information"
