"Time","Message","Severity"
"5/10/2024 1:57 PM","Clearing existing Azure connection","Information"
"5/10/2024 1:57 PM","Clearing existing Azure context 
","Information"
"5/10/2024 1:57 PM","Clearing of existing connection and context completed.","Information"
"5/10/2024 1:57 PM","Working in Subscription: Thungela-Sentinel","Information"
"5/10/2024 1:57 PM","Listing Log Analytics workspace","Information"
"5/10/2024 1:57 PM","Retrieving tables from LA-SAN-ThungelaSentinel","Information"
"5/10/2024 2:43 PM","Table : AACAudit archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AACHttpRequest archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADB2CRequestLogs archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADCustomSecurityAttributeAuditLogs archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesAccountLogon archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesAccountManagement archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesDNSAuditsDynamicUpdates archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesDNSAuditsGeneral archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesLogonLogoff archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesPolicyChange archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 365","Information"
"5/10/2024 2:43 PM","Table : AADManagedIdentitySignInLogs archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADNonInteractiveUserSignInLogs archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADProvisioningLogs archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADRiskyServicePrincipals archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADRiskyUsers archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADServicePrincipalRiskEvents archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADServicePrincipalSignInLogs archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : AADUserRiskEvents archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ABSBotRequests archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ABSChannelToBotRequests archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ABSDependenciesRequests archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ACICollaborationAudit archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ACRConnectedClientList archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ACSAuthIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ACSCallAutomationIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:44 PM","Table : ACSCallAutomationMediaSummary archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallClientMediaStatsTimeSeries archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallClientOperations archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallClosedCaptionsSummary archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallDiagnostics archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallRecordingIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallRecordingSummary archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallSummary archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSCallSurvey archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSChatIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSEmailSendMailOperational archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSEmailStatusUpdateOperational archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSEmailUserEngagementOperational archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSJobRouterIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSNetworkTraversalDiagnostics archive updated successfully to 365","Information"
"5/10/2024 2:45 PM","Table : ACSNetworkTraversalIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ACSRoomsIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ACSSMSIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADAssessmentRecommendation archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : AddonAzureBackupAlerts archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : AddonAzureBackupJobs archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : AddonAzureBackupPolicy archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : AddonAzureBackupProtectedInstance archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : AddonAzureBackupStorage archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADFActivityRun archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADFAirflowSchedulerLogs archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADFAirflowTaskLogs archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADFAirflowWebLogs archive updated successfully to 365","Information"
"5/10/2024 2:46 PM","Table : ADFAirflowWorkerLogs archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFPipelineRun archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSandboxActivityRun archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSandboxPipelineRun archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSignInLogs archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSISIntegrationRuntimeLogs archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSISPackageEventMessageContext archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSISPackageEventMessages archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSISPackageExecutableStatistics archive updated successfully to 365","Information"
"5/10/2024 2:47 PM","Table : ADFSSISPackageExecutionComponentPhases archive updated successfully to 365","Information"
