"Time","Message","Severity"
"5/10/2024 3:43 PM","Clearing existing Azure connection","Information"
"5/10/2024 3:43 PM","Clearing existing Azure context 
","Information"
"5/10/2024 3:43 PM","Clearing of existing connection and context completed.","Information"
"5/10/2024 3:43 PM","Working in Subscription: Thungela-Sentinel","Information"
"5/10/2024 3:43 PM","Listing Log Analytics workspace","Information"
"5/10/2024 3:44 PM","Retrieving tables from LA-SAN-ThungelaSentinel","Information"
"5/10/2024 4:43 PM","Table : AACAudit archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AACHttpRequest archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADB2CRequestLogs archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADCustomSecurityAttributeAuditLogs archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesAccountLogon archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesAccountManagement archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesDNSAuditsDynamicUpdates archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesDNSAuditsGeneral archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesLogonLogoff archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesPolicyChange archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 730","Information"
"5/10/2024 4:43 PM","Table : AADManagedIdentitySignInLogs archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADNonInteractiveUserSignInLogs archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADProvisioningLogs archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADRiskyServicePrincipals archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADRiskyUsers archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADServicePrincipalRiskEvents archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADServicePrincipalSignInLogs archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : AADUserRiskEvents archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ABSBotRequests archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ABSChannelToBotRequests archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ABSDependenciesRequests archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACICollaborationAudit archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACRConnectedClientList archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACSAuthIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACSCallAutomationIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACSCallAutomationMediaSummary archive updated successfully to 730","Information"
"5/10/2024 4:44 PM","Table : ACSCallClientMediaStatsTimeSeries archive updated successfully to 730","Information"
"5/10/2024 4:45 PM","Table : ACSCallClientOperations archive updated successfully to 730","Information"
