"Time","Message","Severity"
"5/10/2024 12:47 PM","Clearing existing Azure connection","Information"
"5/10/2024 12:47 PM","Clearing existing Azure context 
","Information"
"5/10/2024 12:47 PM","Clearing of existing connection and context completed.","Information"
"5/10/2024 12:47 PM","Working in Subscription: Thungela-Sentinel","Information"
"5/10/2024 12:47 PM","Listing Log Analytics workspace","Information"
"5/10/2024 12:48 PM","Retrieving tables from LA-SAN-ThungelaSentinel","Information"
"5/10/2024 1:34 PM","Table : AACAudit archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AACHttpRequest archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADB2CRequestLogs archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADCustomSecurityAttributeAuditLogs archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesAccountLogon archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesAccountManagement archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesDNSAuditsDynamicUpdates archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesDNSAuditsGeneral archive updated successfully to 365","Information"
"5/10/2024 1:34 PM","Table : AADDomainServicesLogonLogoff archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADDomainServicesPolicyChange archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADManagedIdentitySignInLogs archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADNonInteractiveUserSignInLogs archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADProvisioningLogs archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADRiskyServicePrincipals archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADRiskyUsers archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADServicePrincipalRiskEvents archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADServicePrincipalSignInLogs archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : AADUserRiskEvents archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : ABSBotRequests archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : ABSChannelToBotRequests archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : ABSDependenciesRequests archive updated successfully to 365","Information"
"5/10/2024 1:35 PM","Table : ACICollaborationAudit archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACRConnectedClientList archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSAuthIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallAutomationIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallAutomationMediaSummary archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallClientMediaStatsTimeSeries archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallClientOperations archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallClosedCaptionsSummary archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallDiagnostics archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallRecordingIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallRecordingSummary archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallSummary archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSCallSurvey archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSChatIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:36 PM","Table : ACSEmailSendMailOperational archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSEmailStatusUpdateOperational archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSEmailUserEngagementOperational archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSJobRouterIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSNetworkTraversalDiagnostics archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSNetworkTraversalIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSRoomsIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ACSSMSIncomingOperations archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : ADAssessmentRecommendation archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : AddonAzureBackupAlerts archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : AddonAzureBackupJobs archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : AddonAzureBackupPolicy archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : AddonAzureBackupProtectedInstance archive updated successfully to 365","Information"
"5/10/2024 1:37 PM","Table : AddonAzureBackupStorage archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFActivityRun archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFAirflowSchedulerLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFAirflowTaskLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFAirflowWebLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFAirflowWorkerLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFPipelineRun archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSandboxActivityRun archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSandboxPipelineRun archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSignInLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSISIntegrationRuntimeLogs archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSISPackageEventMessageContext archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSISPackageEventMessages archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSISPackageExecutableStatistics archive updated successfully to 365","Information"
"5/10/2024 1:38 PM","Table : ADFSSISPackageExecutionComponentPhases archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADFSSISPackageExecutionDataStatistics archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADFTriggerRun archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADPAudit archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADPDiagnostics archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADPRequests archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADReplicationResult archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADSecurityAssessmentRecommendation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADTDataHistoryOperation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADTDigitalTwinsOperation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADTEventRoutesOperation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADTModelsOperation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADTQueryOperation archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADXCommand archive updated successfully to 365","Information"
"5/10/2024 1:39 PM","Table : ADXIngestionBatching archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : ADXJournal archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : ADXQuery archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : ADXTableDetails archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : AegDataPlaneRequests archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : AegDeliveryFailureLogs archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : AegPublishFailureLogs archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : AEWAssignmentBlobLogs archive updated successfully to 365","Information"
"5/10/2024 1:40 PM","Table : AEWAuditLogs archive updated successfully to 365","Information"
